x-before,y-before,z-before
104.32311,1.0843459,529.608
104.32311,-1.0843459,529.608
113.27422,6.759211,566.58386
114.73791,6.738167,546.6948
115.81004,6.810107,539.2362
116.3449,3.5940833,547.10156
117.02361,3.5800538,540.0488
114.4351,3.6046057,566.76636
83.88227,7.214057,568.355
83.20704,1.2293915,570.13306
113.0539,1.25,576.17084
113.38883,5.8299527,575.7684
113.45052,8.334648,574.9379
92.84101,7.7741275,565.90283
113.63107,6.060185,543.76086
114.37186,6.7559853,554.1533
114.21235,2.4074101,544.04126
102.54707,5.255308,541.65985
115.66923,-3.6029925,554.15424
115.36637,-3.9973016,574.0349
113.07079,6.489794,548.93524
113.62687,2.6666844,549.2948
112.6693,6.7688937,554.1345
113.21091,2.9072614,554.56793
112.47106,3.1552649,564.2006
111.64639,6.6070404,563.6733
112.45164,4.238137,567.6196
115.36637,3.9973016,574.0349
115.66923,3.6029925,554.15424
113.60356,10.387589,574.37885
86.31277,7.094618,563.99023
89.47766,10.092289,560.67804
111.22207,10.047108,544.53424
97.3926,8.590262,543.2403
115.305,0,574.4319
114.37186,-6.7559853,554.1533
106.97826,-3.6796951,529.7626
107.40003,3.996,529.7886
115.94657,4.3951416,530.2902
83.88227,-7.214057,568.355
83.20704,-1.2293915,570.13306
92.84101,-7.7741275,565.90283
113.0539,-1.25,576.17084
113.38883,-5.8299527,575.7684
113.45052,-8.334648,574.9379
115.81004,-6.810107,539.2362
114.73791,-6.738167,546.6948
113.27422,-6.759211,566.58386
116.3449,-3.5940833,547.10156
117.02361,-3.5800538,540.0488
114.4351,-3.6046057,566.76636
97.3926,-8.590262,543.2403
86.31277,-7.094618,563.99023
102.536194,-10.424988,543.18475
111.22207,-10.047108,544.53424
113.60356,-10.387589,574.37885
112.45164,-4.238137,567.6196
111.64639,-6.6070404,563.6733
112.47106,-3.1552649,564.2006
113.21091,-2.9072614,554.56793
112.6693,-6.7688937,554.1345
113.62687,-2.6666844,549.2948
113.07079,-6.489794,548.93524
102.54707,-5.255308,541.65985
114.21235,-2.4074101,544.04126
113.63107,-6.060185,543.76086
115.94657,-4.3951416,530.2902
68.32642,1.2500001,613.76587
69.09199,1.2500001,609.8545
52.800377,7.9452806,601.8773
54.66445,10.709176,598.5175
76.6612,11.477571,612.82855
75.245476,8.394676,617.1573
56.425896,12.889663,598.36646
69.39361,8.010638,615.91016
70.01,8.382991,612.261
70.11649,10.474441,615.3021
70.75742,10.960958,611.73505
68.796394,3.1810274,613.27496
71.648384,13.527475,611.23193
76.06385,8.75252,613.3895
53.403908,8.282113,598.7101
119.4081,28.307165,596.43835
75.84289,11.005423,616.50525
69.54763,3.303813,609.45374
94.67277,6.5855985,612.58795
93.60331,9.411294,616.08887
93.8305,12.404481,615.4728
94.46793,3.517778,613.0794
127.01415,18.625061,607.79645
94.869514,9.656797,612.0875
93.36878,6.42374,616.69025
95.78918,3.588482,608.86945
99.10456,12.33404,616.04047
98.93714,9.358744,616.67084
51.751534,5.57301,602.07684
100.38302,12.5904,612.1215
100.25251,9.548486,612.6461
128.14108,13.492861,608.68787
101.09771,1.2500001,609.813
66.14434,8.981762,600.51825
101.26141,3.5311556,609.41626
99.92277,3.477673,613.66077
99.73171,1.2500001,614.1547
101.40888,6.618355,609.0133
101.53497,9.708029,608.6019
128.85553,16.044577,604.688
105.3933,3.425609,614.0949
64.509026,6.0265594,604.32495
61.26676,13.538428,611.7567
61.729362,14.264976,608.59064
105.72594,12.399017,612.5441
60.360023,12.076684,608.93304
106.99342,15.585158,608.1652
110.58701,24.783875,592.50195
114.56951,1.2500001,601.7705
106.74619,3.4642024,609.8453
106.95727,9.517968,609.0235
107.00248,12.548889,608.59875
115.63902,1.2500001,597.3253
114.49314,23.864191,596.4093
112.39194,9.289099,609.33704
57.53405,5.5631995,606.66986
112.24252,3.383741,610.1578
113.49517,15.259979,604.61237
113.51559,11.565862,620.62274
112.30386,15.194949,608.4726
116.44318,11.79664,612.98865
113.46859,14.34393,619.8732
115.40203,23.650347,592.78467
51.210808,5.021778,608.5472
116.32143,14.633095,612.4418
119.36219,22.79908,596.6717
117.61227,14.712473,608.66943
113.63236,9.338364,605.26587
118.44753,23.04677,600.25684
113.51147,3.4027758,605.8852
118.80468,14.736204,604.84534
117.46365,23.22915,603.8117
121.5729,14.079321,612.4414
117.34325,17.559244,608.2197
116.9358,20.416517,607.768
119.06879,20.283886,600.49915
118.04517,20.386946,604.154
119.90112,14.715056,600.9796
65.29066,8.690029,604.01917
63.7828,5.8013783,607.91364
124.09515,14.142363,604.987
128.14632,18.557148,604.3367
127.67529,16.06599,608.2456
96.86573,1.2500001,622.7622
63.1332,3.2098532,608.28705
129.35762,13.496024,605.0302
138.75307,18.24483,597.44714
128.21843,20.842987,600.5697
54.805885,11.293228,607.6636
53.36167,9.242342,607.92706
98.31945,1.2500001,618.4709
123.69057,16.837383,604.64154
127.25678,21.064978,603.9869
122.89532,14.137362,608.7443
59.092125,9.845794,609.2967
137.91595,18.480038,600.6648
59.754646,8.637917,599.6437
124.34795,11.422093,605.3215
59.019478,8.325552,602.9878
125.1764,14.104493,601.18054
130.03731,18.23672,597.2706
129.14859,18.422255,600.8238
60.84124,11.216655,599.4134
121.7721,11.357906,612.9829
129.90065,15.969286,601.0752
56.791725,3.1113067,606.9842
58.82998,9.316756,612.602
88.00913,6.443983,615.93146
87.73353,3.4514012,616.4959
88.57642,12.441943,614.7679
65.47782,10.901461,607.1246
89.0301,3.550847,612.3493
87.42147,11.98695,618.62195
110.81142,30.19322,592.5149
84.786766,1.2500001,625.5339
86.123634,1.2500001,621.29407
136.70847,21.386122,600.29144
123.96256,26.532196,596.6351
115.65897,29.429434,592.79944
120.37377,28.209682,593.0762
137.61856,21.114496,597.2189
58.101402,5.8049,603.2474
118.40862,28.351278,599.78955
65.975914,12.820043,610.1238
81.375496,3.3676896,615.5503
124.87972,26.334318,593.34064
66.54871,14.484634,612.97253
65.456184,12.214664,613.4874
67.14187,15.195835,609.69574
114.6347,29.451551,596.1928
66.633095,13.366926,606.7517
63.224037,5.5493116,611.50586
81.033226,1.2500001,616.10095
62.57972,3.077004,611.95935
62.609245,1.2500001,608.642
111.80758,29.405077,586.5087
121.61947,27.916567,588.24744
124.22332,21.695192,596.90643
60.028023,3.5142446,593.0548
45.517067,1.2500001,613.3506
121.87754,1.2500001,593.16785
82.49792,3.4738603,611.4907
127.15668,1.2500001,593.47845
82.18789,1.2500001,611.9468
45.049904,1.2500001,594.8168
120.19399,1.2500001,619.04083
79.68929,6.7711573,598.5217
78.545006,6.618115,602.36926
73.015526,6.5860214,597.86316
60.715263,6.3518023,593.04926
89.26484,6.645401,611.88
96.12554,9.8703165,608.0764
61.66706,9.073219,593.01843
71.49827,11.42081,608.17084
66.19471,11.33881,603.68646
96.27668,13.02268,607.67096
95.05642,12.735991,611.57697
67.05276,11.70796,600.2605
89.74647,12.854015,610.9184
72.43125,14.059067,607.75
67.41433,13.857782,603.38654
88.87002,15.464194,614.1699
89.995476,15.980437,610.42444
113.28599,18.21117,604.27405
112.13197,18.151934,608.02673
118.4985,17.56654,604.50195
124.74094,16.76338,600.93976
120.01566,20.125362,596.8134
111.60073,24.298447,587.0896
121.40762,22.347433,588.90424
120.21705,22.516823,593.0674
125.03208,21.383299,593.3501
129.07593,20.561926,597.1138
95.60914,1.25,609.25793
109.12016,1.25,601.4443
108.22297,12.659299,604.62317
110.26099,1.25,597.00415
107.89872,1.25,605.8598
65.37153,1.25,597.3823
79.05598,1.25,598.83057
61.553856,13.156034,602.4449
62.345665,13.592933,599.21735
64.57136,8.358713,607.52954
77.843864,1.25,602.8703
88.5198,1.25,591.19183
80.302055,1.25,594.796
60.089897,10.824621,602.69543
73.39312,1.25,594.23145
72.20493,1.25,598.1282
100.76096,1.25,591.92566
58.56997,1.25,596.575
96.93705,1.25,604.9385
66.493004,1.25,593.6451
71.067696,1.25,602.0328
106.98716,1.25,581.15436
100.55622,1.25,586.2409
106.51365,1.25,586.69525
86.54365,1.25,586.08514
80.26533,1.25,585.9573
111.85595,1.25,588.03705
112.39263,1.25,583.5273
67.6338,1.25,589.9221
115.63902,-1.2500001,597.3253
